id_product;name;link_rewrite;
"342";"Ariel microboosters 260g";"ariel-microboosters-260g";
"343";"Aroma omer duruk water 500ml";"aroma-omer-duruk-water-500ml";
"344";"Aruba berries powder insta drink 750g";"aruba-berries-powder-inst-drink-750g";
"345";"Aruba custard powder chocolate flavour 340g";"aruba-custard-powder-340g";
"346";"Aruba orange powder insta drink 750g";"aruba-orange-powder-inst-drink-750g";
"347";"Aruba mango powder insta drink 750g";"aruba-mango-powder-insta-drink-750g";
"348";"Aruba pinapple powder insta drink 750g";"aruba-pinapple-powder-inst-drink-750g";
"349";"Aruba custard powder strawberry flavour 340g";"aruba-strawberry-custard-340g";
"350";"Aruba custard powder vanilla flavour 340g";"aruba-vanilla-custard-powder-340g";
"352";"Arwa water 500ml";"arwa-water-500ml";
"353";"Axe anarchy for her 160ml";"axe-anarchy-for-her-160ml";
"359";"Axe deoderant dark temptation 160ml";"axe-deoderant-dark-temptation-160ml";
"365";"Barbican apple 330ml";"barbican-apple-btl-330ml";
"366";"Barbican fusion 330ml";"barbican-fusion-330ml";
"367";"Barbican lemon 330ml";"barbican-lemon-330ml";
"369";"Barbican pineapple bottle 330ml";"barbican-pineapple-btl-330ml";
"377";"Batchelors cup a soup broccoli and cauliflower106g";"batchelors-cas-creamy-brococauli-106g";
"378";"Batchelors cup a soup with croutons cream of asparagus 123g";"batchelors-cream-of-asparagus-soup123g";
"379";"Batchelors cup a soup golden vegetable soup x4";"batchelors-golden-vegetable-soup-x4";
"380";"Batchelors tomato soup x4";"batchelors-tomato-soup-x4";
"382";"Bavaria non alc can 330ml";"bavaria-non-alc-can-330ml";
"383";"Bavaria malt drink 500ml";"bavaria-malt-drink-500ml";
"384";"Bayara gyma basil 100ml";"bayara-basil-basilic-100ml";
"385";"Bayara gyma bay leaves 15g";"bayara-bay-leavs";
"386";"Bayara gyma black pepper ground 330ml";"bayara-black-pepper-ground-330ml";
"387";"Bayara black pepper ground 100ml";"bayara-black-pepper-powder-100ml";
"389";"Bayara gyma chicken masala 330ml";"bayara-chicken-masala-330ml";
"390";"Bayara gyma cinnamon ground 100ml";"bayara-cinnamon-ground-100ml";
"391";"Bayara gyma cinnamon powder 200g";"bayara-cinnamon-powder-200g";
"392";"Bayara gyma coriander powder 330ml";"bayara-coriander-powder-330ml";
"393";"Bayara gyma cumin powder 330ml";"bayara-cumin-powder-330ml";
"394";"Bayara gyma cumin whole 330ml";"bayara-cumin-whole-330ml";
"395";"Bayara gyma curry powder 330ml";"bayara-curry-powder-330ml";
"396";"Bayara garlic powder 330ml";"bayara-garlic-powder-330ml";
"397";"Bayara ginger powder 330ml";"bayara-ginger-powder-330ml";
"398";"Bayara meat tenderiser 100ml";"bayara-meat-tenderiser-100ml";
"399";"Bayara mixed dry fruits 200g";"bayara-mixed-dry-fruits-200g";
"400";"Gyma bayara nutmeg ground 100ml";"bayara-nutmeg-ground-100ml";
"401";"Bayara oregano pizza 100ml";"bayara-oregano-pizza-100ml";
"402";"Bayara paprika 100ml";"bayara-paprika-100ml";
"403";"Bayara pista with shell 200g";"bayara-pista-with-shell-200g";
"407";"Bayara rosemary 100ml";"bayara-rosemary-100ml";
"408";"Bayara salt 100ml";"bayara-salt-100ml";
"409";"Bayara sunflower seeds roasted 200g";"bayara-sunflower-seeds-roasted-200g";
"410";"Bayara thyme 100ml";"bayara-thyme-100ml";
"411";"Bayara white pepper ground 100ml";"bayara-white-pepper-ground-100ml";
"412";"Bayara zaatar 200g";"bayara-zaatar-200g";
"414";"Baygon flies mosquitoes killer spray 400ml";"baygon-flies-mosquitoes";
"415";"Baygon insect spray 400ml";"baygon-insect-spray-400ml";
"416";"Be natural almond&apricot 50g";"be-natural-almondapricot-50g";
"417";"Be natural fruit&nut 50g";"be-natural-fruitnut-50g";
"418";"Be natural nut delight 50g";"be-natural-nut-delight-50g";
"419";"Be natural walnut&date 50g";"be-natural-walnutdate-50g";
"429";"Benatural almond&apricot 50g";"benatural-almondapricot-50g";
"432";"Best salted cashew pouch 30g";"best-cashew-pouch-30g";
"434";"Best egyption seeds 75g";"best-egyption-seeds-75g";
"435";"Best japanese crackers 150g";"best-japanes-crackers-150g";
"436";"Best mix nuts pouch 40g";"best-mix-nut-pouch-40g";
"438";"Best mixed nuts can 110g";"best-mixed-nuts-can-110g";
"441";"Best salted peanut pouch 30g";"best-peanut-pouch-30g";
"444";"Best pumpkin seeds 75g";"best-pumpkin-seeds-75g";
"447";"Best salted peanut can 120g";"best-salted-peanut-can-120g";
"450";"Best salted pistachios can 120g";"best-salted-pistachios-can-120g";
"451";"Best super mix can 225g";"best-super-mix-can-225g";
"454";"Bic comfort gel sensetive";"bic-comfort-gel-sensetive";
"460";"Bic soleil lady gel";"bic-soleil-lady-gel";
"464";"Boncafe icafe french vanilla 240ml";"boncafe-icafe-french-vanilla-240ml";
"466";"Boncafe icafe latte low fat 240ml";"boncafe-icafe-low-fat-240ml";
"472";"Boy bawang cornick bbq 100g";"boy-bawang-cornick-bbq-100g";
"474";"Branston pickle original 360g";"branston-pickle-original-360g";
"479";"Brylcreem normal hold gel 150ml";"brylcreem-normal-hold-gel-150ml";
"480";"Brylcreem strong gel 150ml";"brylcreem-strong-gel-150ml";
"481";"Brylcreem wet look gel 150ml";"brylcreem-wet-look-gel-150ml";
"486";"Burn energy drink 185ml";"burn-energy-drink-185ml";
"487";"Burn energy drink 250ml";"burn-energy-drink-250ml";
"490";"California garden bajela 450gm";"c-g-bajela-broadbeans-450gm";
"493";"California garden chick peas 400g";"c-g-chick-peas-400g";
"494";"California garden corned beef 200g";"c-g-corned-beef-200g";
"495";"California garden corned beef 340g";"c-g-corned-beef-340g";
"497";"California garden fava beans egyptian recipe 450g";"c-g-foul-egyptian-450g";
"498";"California garden fava beans lebanese recipe 450g";"c-g-foul-labanese-450g";
"499";"California garden foul plain medammes 450g";"c-g-foul-medammas-fava-beans450g";
"500";"California garden fava beans saudi recipe 450g";"c-g-foul-saudi-recipe-450g";
"501";"California garden fava beans with tahina 450g";"c-g-foul-with-thahina-450g";
"502";"California garden hommos tahina dip 220g";"c-g-hommos-tahina-220g";
"503";"California garden hommos tahina dip 400g";"c-g-hommos-tahina-400g";
"504";"California garden light tuna water salt 185g";"c-g-light-tuna-in-brine-fancy-185g";
"505";"California garden light tuna chunk in sunflower oil 185g";"c-g-light-tuna-in-oil-fancy-185g";
"506";"California garden light tuna solid in sunflower oil 185g";"c-g-light-tuna-solid-in-oil-185g";
"507";"California garden mixed vegetables 425g";"california-garden-mixed-vegetables-425g";
"510";"California garden peeled fava beans 450g";"c-g-peeled-foul-450g";
"511";"California garden foul with chilli  450";"california-garden-foul-with-chilli-450";
"512";"California garden processed peas 400g";"california-garden-processed-peas-400g";
"513";"California garden red kidney beans dark 400g";"california-garden-red-kidney-beans-dark-400g";
"514";"California garden sardines tomato 125g";"california-garden-sardines-tomato-125g";
"515";"California garden sardines hot tomato 125g";"california-garden-sardines-hot-tomato-125g";
"516";"California garden sardines water salt 125g";"c-g-sardine-in-water-salt-125g";
"519";"California garden white tuna sunflower oil 200g";"c-g-white-tuna-in-oil-200g";
"520";"California garden white tuna solid olive oil 185g";"california-garden-white-tuna-solid-olive-oil-185g";
"521";"California garden white tuna water salt 185g";"c-g-white-tuna-watr-185g";
"544";"California garden sliced beets 425g";"california-garden-sliced-beets-425g";
"547";"Canderel 100 tablets ";"canderel-100s";
"550";"Cantina mexicana 12 tacoshells 150g";"cantina-mexicana-12-tacoshells-150g";
"551";"Cantinacantina mexicana 6 tortillas xl 240g";"cantina-mexicana-6-multigrain-tortillas-240g";
"552";"Cantina mexicana 6 salsa tortillas 240g";"cantina-mexicana-6-salsa-tortillas-240g";
"554";"Cantina mexicana 8 flour tortillas";"cantina-mexicana-8-flour-tortillas";
"555";"Cantina mexicana cheddar dip";"cantina-mexicana-cheddar-dip";
"556";"Cantina mexicana guacamole dip";"cantina-mexicana-guacamole-dip";
"558";"Cantina mexicana mild salsa dip";"cantina-mexicana-mild-salsa-dip";
"559";"Cantina mexicana traditional tortilla chips";"cantina-mexicana-tortilla-chips";
"560";"Captain oats can 500g";"captain-oats-500g";
"561";"Captain oats pouch 500g";"captain-oats-pouch-500g";
"563";"Castania mixed kernels 350 g";"castania-mixed-kernels-350-g";
"564";"Castania mixed super extra nuts 350g";"castania-mixed-super-extra-nuts-350-g";
"568";"Nestle honey cheerios 375g";"cheerios-honey-375g";
"569";"Cheetos crunchy cheese 210g";"cheetos-crunchy-cheese-210g";
"570";"Cheetos crunchy cheese 30g";"cheetos-crunchy-cheese-30g";
"572";"Cheetos mini cheese & ketchup";"cheetos-mini-cheese-ketchup";
"573";"Cheetos mini cheese pkt";"cheetos-mini-cheese-pkt";
"578";"California garden chicken luncheon meat 200g";"chicken-luncheon-meat-200g";
"579";"California garden chicken luncheon meat 340g";"chicken-luncheon-meat-340g";
"594";"Clear shampoo men hair fall defence 400ml";"clear-shampoo-men-hair-fall-defence-400ml";
