id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;HALLOUMI CHEESE LIGHT 200G;Home;16.5;;;;;;;;;;;;5290043002207;;;;;;;;;;;;In stock;;;;
;1;AL MARAI LEMON JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007020183;;;;;;;;;;;;In stock;;;;
;1;LALA FISH CRACKERS 100G;Home;5;;;;;;;;;;;;4800449555514;;;;;;;;;;;;In stock;;;;
;1;LACNOR PINEAPPLE JUICE 180ML;Home;1.25;;;;;;;;;;;;6291016114032;;;;;;;;;;;;In stock;;;;
;1;AL MARAI VETAL LF YOGHURT 160G;Home;1.25;;;;;;;;;;;;6281007089005;;;;;;;;;;;;In stock;;;;
;1;AMERICANA SUPER ROLL ORANGE 60G;Home;1.25;;;;;;;;;;;;6281033409051;;;;;;;;;;;;In stock;;;;
;1;CHUPA CHUPS SURPRISE BUGS ZOO 12G;Home;3.5;;;;;;;;;;;;84194107;;;;;;;;;;;;In stock;;;;
;1;JOHN WEST TUNA CHUNKS IN WATER 185G;Home;9.75;;;;;;;;;;;;5000171002525;;;;;;;;;;;;In stock;;;;
;1;SADIA CHICKEN GRILLER 1300G;Home;22.75;;;;;;;;;;;;7893000558595;;;;;;;;;;;;In stock;;;;
;1;LIFEBUOY HAND SANITIZER 55ML;Home;8.5;;;;;;;;;;;;8901030203480;;;;;;;;;;;;In stock;;;;
;1;AL MARAI SKIMMED YOGHURT 170G;Home;1.25;;;;;;;;;;;;6281007041843;;;;;;;;;;;;In stock;;;;
;1;AL MARAI MIXED BERRY 300ML;Home;2.25;;;;;;;;;;;;6281007021845;;;;;;;;;;;;In stock;;;;
;1;AL MARAI GUAVA JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007203050;;;;;;;;;;;;In stock;;;;
;1;PEPSI DIET 2.25L;Home;5;;;;;;;;;;;;012000001017;;;;;;;;;;;;In stock;;;;
;1;SAFA CORN FLOUR 400G;Home;3.5;;;;;;;;;;;;014796202135;;;;;;;;;;;;In stock;;;;
;1;AMERICANA CUP CAKE COCONUT 3`S;Home;1.25;;;;;;;;;;;;6281033309245;;;;;;;;;;;;In stock;;;;
;1;NAJJAR SELCECTION CARDAMOM ARABICA 450G;Home;36;;;;;;;;;;;;022644006385;;;;;;;;;;;;In stock;;;;
;1;BEST ALMOND SALTED POUCH 20G;Home;1.5;;;;;;;;;;;;6291014103472;;;;;;;;;;;;In stock;;;;
;1;BEST PISTA POUCH 30G;Home;3.5;;;;;;;;;;;;6291014101850;;;;;;;;;;;;In stock;;;;
;1;MAXWELL HOUSE COFFEE SELECTION 100G;Home;20.25;;;;;;;;;;;;7622300026912;;;;;;;;;;;;In stock;;;;
;1;PERRIER WATER LEMON 330ML;Home;4.75;;;;;;;;;;;;3179730011871;;;;;;;;;;;;In stock;;;;
;1;COROLI SUNFLOWER OIL 1.8L;Home;22;;;;;;;;;;;;8710824180414;;;;;;;;;;;;In stock;;;;
;1;PAMPERS AB 5 JUNIOR 11-25;Home;18.25;;;;;;;;;;;;4015400406662;;;;;;;;;;;;In stock;;;;
;1;DEL MONTE PINEAPPLE JUICE UNSW 240ML;Home;3.5;;;;;;;;;;;;4800024562692;;;;;;;;;;;;In stock;;;;
;1;DEL MONTE PINEAPPLE JUICE CRUSH 240ML;Home;3.5;;;;;;;;;;;;4800024550057;;;;;;;;;;;;In stock;;;;
;1;LIPTON GREEN TEA MINT 100;Home;20.25;;;;;;;;;;;;6281006851009;;;;;;;;;;;;In stock;;;;
;1;PAMPERS AB CP MAXI 17;Home;18;;;;;;;;;;;;4015400406303;;;;;;;;;;;;In stock;;;;
;1;BEST CASHEW POUCH 15G;Home;1.5;;;;;;;;;;;;6291014101485;;;;;;;;;;;;In stock;;;;
;1;MONTE CHRISTO MOZZARELLA CHEESE 200G;Home;10.5;;;;;;;;;;;;5701638184111;;;;;;;;;;;;In stock;;;;
;1;LESIEUR MAYONNAISE WITH SF OIL 235G;Home;6.75;;;;;;;;;;;;3036813499035;;;;;;;;;;;;In stock;;;;
;1;LESIEUR HEART OF SUNFLOWER OIL 1 LTR;Home;15;;;;;;;;;;;;3265474385009;;;;;;;;;;;;In stock;;;;
;1;L KABEER VEGITABLE SPRING ROLL 280G;Home;11.5;;;;;;;;;;;;5033712150065;;;;;;;;;;;;In stock;;;;
