id;Active (0/1);Name*;Categories (x,y,z,...);Price tax excl. Or Price tax excl;Tax rules id;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyy-mm-dd);Discount to (yyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Weight;Quantity;Short description;Description;Tags (x,y,z,...);Meta-title;Meta-keywords;Meta-description;URL rewritten;Text when in-stock;Text if back-order allowed;Image URLs (x,y,z,...);Feature;Only available online
;1;ALMARAI  MOZERELLA SHREDDED CHEESE 200G;Home;10.00;;;;;;;;;;;;6281007173605;;;;;;;;;;;;;;;;
;1;ALMARAI APPLE JUICE 1.75 L;Home;11.50;;;;;;;;;;;;6281007028417;;;;;;;;;;;;;;;;
;1;ALMARAI APPLE JUICE 300ML;Home;2.25;;;;;;;;;;;;6281007029674;;;;;;;;;;;;;;;;
;1;ALMARAI APPLE MIX 200ML;Home;1.50;;;;;;;;;;;;6281007029650;;;;;;;;;;;;;;;;
;1;ALMARAI APPLE MIX JUICE 1.75L;Home;11.00;;;;;;;;;;;;6281007027748;;;;;;;;;;;;;;;;
;1;ALMARAI CHEESE SLICES BURGER;Home;6.75;;;;;;;;;;;;6281007169004;;;;;;;;;;;;;;;;
;1;ALMARAI CHOC MILK 360ML;Home;2.75;;;;;;;;;;;;6281007023726;;;;;;;;;;;;;;;;
;1;ALMARAI CHOCLATE CUSTARD;Home;1.25;;;;;;;;;;;;6281007023764;;;;;;;;;;;;;;;;
;1;ALMARAI CHOCOLATE MILK 250 ML;Home;1.75;;;;;;;;;;;;6281007028165;;;;;;;;;;;;;;;;
;1;ALMARAI COOKING CREAM 250ML;Home;8.50;;;;;;;;;;;;6281007026499;;;;;;;;;;;;;;;;
;1;ALMARAI CREAM CARAMEL 100G;Home;1.25;;;;;;;;;;;;6281007023887;;;;;;;;;;;;;;;;
;1;ALMARAI CREAM CHEESE 140G;Home;5.75;;;;;;;;;;;;6281007025652;;;;;;;;;;;;;;;;
;1;ALMARAI FC LABAN 2L;Home;11.00;;;;;;;;;;;;6281007110402;;;;;;;;;;;;;;;;
;1;ALMARAI FETA CHEESE 500G;Home;9.25;;;;;;;;;;;;6281007171007;;;;;;;;;;;;;;;;
;1;ALMARAI FF LABAN 180ML;Home;1.75;;;;;;;;;;;;6281007023122;;;;;;;;;;;;;;;;
;1;ALMARAI FF LABAN 360ML;Home;2.75;;;;;;;;;;;;6281007023498;;;;;;;;;;;;;;;;
;1;ALMARAI FF MILK 2LR;Home;11.00;;;;;;;;;;;;6281007120401;;;;;;;;;;;;;;;;
;1;ALMARAI FULL FAT LABAN 1L;Home;6.75;;;;;;;;;;;;6281007110808;;;;;;;;;;;;;;;;
;1;ALMARAI FULL FAT MILK 180ML;Home;1.75;;;;;;;;;;;;6281007023115;;;;;;;;;;;;;;;;
;1;ALMARAI GUAVA PULP 200ML;Home;1.50;;;;;;;;;;;;6281007027069;;;;;;;;;;;;;;;;
;1;ALMARAI KIWI&LIME 200ML;Home;1.50;;;;;;;;;;;;6281007029162;;;;;;;;;;;;;;;;
;1;ALMARAI L/F LABAN 2L;Home;11.00;;;;;;;;;;;;6281007110501;;;;;;;;;;;;;;;;
;1;ALMARAI LABAN LF ADDED VITAMINS 180ML;Home;1.75;;;;;;;;;;;;6281007023504;;;;;;;;;;;;;;;;
;1;ALMARAI LABAN STRAWBERRY 360ML;Home;2.75;;;;;;;;;;;;6281007026741;;;;;;;;;;;;;;;;
;1;ALMARAI LABAN UP 200ML;Home;1.00;;;;;;;;;;;;6281007026062;;;;;;;;;;;;;;;;
;1;ALMARAI LABAN VETAL 360ML;Home;2.75;;;;;;;;;;;;6281007023689;;;;;;;;;;;;;;;;
;1;ALMARAI LEMON WITH MINT 200ML;Home;1.50;;;;;;;;;;;;6281007029179;;;;;;;;;;;;;;;;
;1;ALMARAI LF YOGHURT 400ML;Home;3.25;;;;;;;;;;;;6281007139762;;;;;;;;;;;;;;;;
;1;ALMARAI LL MILK FF 250ML;Home;2.00;;;;;;;;;;;;6281007028271;;;;;;;;;;;;;;;;
;1;ALMARAI LOW FAT 1L;Home;6.75;;;;;;;;;;;;6281007040419;;;;;;;;;;;;;;;;
;1;ALMARAI MANGO MILK 360ML;Home;2.75;;;;;;;;;;;;6281007023733;;;;;;;;;;;;;;;;
;1;ALMARAI MILK LOW FAT 180ML;Home;1.75;;;;;;;;;;;;6281007023535;;;;;;;;;;;;;;;;
;1;ALMARAI SLICE CHEESE LOWFAT 10;Home;8.25;;;;;;;;;;;;6281007184489;;;;;;;;;;;;;;;;
;1;ALMARAI SLICE CHEESE SANDWICH 10;Home;6.75;;;;;;;;;;;;6281007169202;;;;;;;;;;;;;;;;
;1;ALMARAI SPREADABLE CHEDDAR CHEESE;Home;10.00;;;;;;;;;;;;6281007025775;;;;;;;;;;;;;;;;
;1;ALMARAI SPREADABLE CHEESE 240G;Home;10.00;;;;;;;;;;;;6281007025676;;;;;;;;;;;;;;;;
;1;ALMARAI STRAWBERRY MILK 250 ML;Home;1.75;;;;;;;;;;;;6281007028189;;;;;;;;;;;;;;;;
;1;ALMARAI STWB&CREAM YOGHURT 120G;Home;1.75;;;;;;;;;;;;6281007023924;;;;;;;;;;;;;;;;
;1;ALMARAI TRIANGLES 8P;Home;2.75;;;;;;;;;;;;6281007186612;;;;;;;;;;;;;;;;
;1;ALMARAI VANILLA MILK 250 ML;Home;1.75;;;;;;;;;;;;6281007028226;;;;;;;;;;;;;;;;
;1;ALMARAI YOUGHURT F CRM CUP 170G;Home;1.25;;;;;;;;;;;;6281007040655;;;;;;;;;;;;;;;;
;1;ALMARAI YOUGHURT LOW FAT CUP 170G;Home;1.25;;;;;;;;;;;;6281007040716;;;;;;;;;;;;;;;;
;1;ALMRARAI PREM ORANGE 300ML;Home;2.25;;;;;;;;;;;;6281007029629;;;;;;;;;;;;;;;;
;1;ALOKOZAY BLACK LOOSE TEA;Home;9.50;;;;;;;;;;;;6291101130176;;;;;;;;;;;;;;;;
;1;ALOKOZAY BLACK TEA;Home;9.25;;;;;;;;;;;;6291101131111;;;;;;;;;;;;;;;;
;1;ALOKOZAY BLACK TEA BAGS 100`S;Home;13.50;;;;;;;;;;;;6291101130022;;;;;;;;;;;;;;;;
;1;ALOKOZAY CAMOMILE TEA;Home;9.25;;;;;;;;;;;;6291101131050;;;;;;;;;;;;;;;;
;1;ALOKOZAY CINNAMON TEA;Home;9.25;;;;;;;;;;;;6291101131029;;;;;;;;;;;;;;;;
;1;ALOKOZAY EARL GREY TEA;Home;9.25;;;;;;;;;;;;6291101131272;;;;;;;;;;;;;;;;
;1;ALOKOZAY GREEN TEA;Home;9.25;;;;;;;;;;;;6291101131326;;;;;;;;;;;;;;;;
;1;ALOKOZAY JASMINE TEA;Home;9.25;;;;;;;;;;;;6291101131258;;;;;;;;;;;;;;;;
;1;ALOKOZAY MAROCCAN TEA;Home;10.50;;;;;;;;;;;;6291101130923;;;;;;;;;;;;;;;;
;1;ALOKOZAY MINT TEA;Home;9.25;;;;;;;;;;;;6291101131036;;;;;;;;;;;;;;;;
